Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene (OncoKB)	Is Tumor Suppressor Gene (OncoKB)	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	OG score	TSG score	Is Oncogene (TCGA)	Is Tumor Suppressor Gene (TCGA)	Is Driver Gene (TCGA)	Is Oncogene (CGC)	Is Tumor Suppressor Gene (CGC)	Is Driver Gene (CGC)
ERBB3	2065.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	3.5	0.0	Yes	No	Yes	No	No	Yes
ERBB4	2066.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
ERCC2	2068.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	1.5	0.0	Yes	No	Yes			
BRIP1	83990.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
ERCC3	2071.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes								
AMER1	139285.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
LZTR1	8216.0	3.0	Yes	No	Yes	Yes	No	No	No	No	Yes	0.5	0.5	No	No	Yes	No	No	Yes
ERCC4	2072.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes								
ABL1	25.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
ERCC5	2073.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes								
ABL2	27.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
ERF	2077.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
ERG	2078.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
STAG1	10274.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No						No	No	Yes
ZRSR2	8233.0	5.0	Yes	No	No	Yes	Yes	No	Yes	No	Yes						No	No	Yes
SETD6	79918.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
RBM10	8241.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	3.0	No	Yes	Yes	No	No	Yes
KDM5C	8242.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.5	No	Yes	Yes	No	No	Yes
ESR1	2099.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	0.0	0.0	No	No	Yes	No	No	Yes
SMC1A	8243.0	3.0	Yes	No	Yes	No	Yes	No	Yes	No	No	2.0	0.0	Yes	No	Yes	No	No	Yes
MAX	4149.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	2.0	0.0	Yes	No	Yes	No	No	Yes
RPS6KB2	6199.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
ETV1	2115.0	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes								
ETV4	2118.0	4.0	Yes	Yes	No	No	No	Yes	Yes	No	Yes								
ETV5	2119.0	4.0	Yes	Yes	No	No	No	Yes	Yes	No	Yes								
ACTG1	71.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
ETV6	2120.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
MECOM	2122.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes	0.5	0.0	No	No	Yes			
MCL1	4170.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
IKZF1	10320.0	6.0	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes								
EWSR1	2130.0	4.0	Yes	Yes	No	No	No	Yes	Yes	No	Yes								
ACVR1	90.0	4.0	Yes	Yes	No	Yes	Yes	No	No	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
RRAS	6237.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
EZH1	2145.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
ARID1A	8289.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.5	12.5	No	Yes	Yes	No	No	Yes
MDM2	4193.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
EZH2	2146.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
MDM4	4194.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
HIST3H3	8290.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST2H3A	333932.0	1.0	Yes	No	No	No	No	No	No	No	No								
RXRA	6256.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No	1.0	0.0	Yes	No	Yes			
MAP3K1	4214.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	4.0	No	Yes	Yes	No	No	Yes
AXIN1	8312.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
AXIN2	8313.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	0.5	No	No	Yes	No	No	Yes
BAP1	8314.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	6.5	No	Yes	Yes	No	No	Yes
MEN1	4221.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
KLF2	10365.0	1.0	Yes	No	Yes	No	No	No	No	No	No								
FANCA	2175.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
FANCC	2176.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
FANCD2	2177.0	4.0	Yes	No	Yes	No	Yes	No	Yes	No	Yes								
MET	4233.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	0.5	Yes	No	Yes	No	No	Yes
HIST1H2AL	8332.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
HIST1H2AC	8334.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
PARP1	142.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No								
HIST1H2AM	8336.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
HIST1H2BG	8339.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
FAT1	2195.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	5.5	No	Yes	Yes	No	No	Yes
ARID1B	57492.0	5.0	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes						No	No	Yes
HIST1H2BC	8347.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
HIST1H2BO	8348.0	3.0	Yes	No	No	No	Yes	No	Yes	No	No								
HIST1H3A	8350.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3D	8351.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3C	8352.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3E	8353.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3I	8354.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3G	8355.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
HIST1H3J	8356.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
CIITA	4261.0	4.0	Yes	No	Yes	No	Yes	No	Yes	No	Yes								
HIST1H3H	8357.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
ZNRF3	84133.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No						No	No	Yes
UBR5	51366.0	3.0	Yes	Yes	No	No	Yes	No	No	No	Yes						No	No	Yes
HIST1H3B	8358.0	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes						No	No	Yes
ATXN2	6311.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
ATXN7	6314.0	2.0	Yes	Yes	No	Yes	No	No	No	No	No								
FAM175A	84142.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
SERPINB3	6317.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No								
YAP1	10413.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
SERPINB4	6318.0	2.0	Yes	No	No	Yes	No	No	No	No	No								
RPTOR	57521.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
APLNR	187.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No								
MITF	4286.0	6.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes								
ARID5B	84159.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No	0.0	0.5	No	No	Yes			
MLH1	4292.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
FGF3	2248.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
KMT2A	4297.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes			
FGF4	2249.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
MLLT1	4298.0	4.0	Yes	No	No	Yes	No	No	Yes	No	Yes								
ETNK1	55500.0	3.0	Yes	No	No	No	Yes	No	No	No	Yes						No	No	Yes
AKT1	207.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	6.0	0.0	Yes	No	Yes	No	No	Yes
AKT2	208.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
FGFR1	2260.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	0.0	0.0	No	No	Yes			
FGFR3	2261.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
SPOP	8405.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
ALB	213.0	2.0	Yes	No	No	Yes	No	No	No	No	No	0.0	0.5	No	No	Yes			
FGFR2	2263.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	3.0	0.0	Yes	No	Yes	No	No	Yes
FGFR4	2264.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
MAD2L2	10459.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No								
FH	2271.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes								
SETD3	84193.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
ALK	238.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
HOXB13	10481.0	3.0	Yes	Yes	Yes	Yes	Yes	No	No	No	No								
ALOX12B	242.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No								
SDHA	6389.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
RAD54L	8438.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No								
SDHB	6390.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
FOXF1	2294.0	2.0	Yes	Yes	Yes	Yes	No	No	No	No	No								
SDHC	6391.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
SDHD	6392.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
MPL	4352.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
CARM1	10498.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
CUL3	8452.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No	0.0	3.5	No	Yes	Yes	No	No	Yes
FOXO1	2308.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
TRAF7	84231.0	5.0	Yes	No	No	Yes	Yes	No	No	Yes	Yes						No	No	Yes
FLI1	2313.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
MRE11A	4361.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
MAP2K4	6416.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
RRAS2	22800.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No	1.0	0.0	Yes	No	Yes			
FLT1	2321.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
FLT3	2322.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
FLT4	2324.0	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes								
SFRP1	6422.0	1.0	Yes	No	Yes	No	No	No	No	No	No								
IKZF3	22806.0	3.0	Yes	Yes	Yes	No	Yes	No	Yes	No	No								
SFRP2	6423.0	1.0	Yes	Yes	Yes	No	No	No	No	No	No								
SRSF2	6427.0	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
EP400	57634.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
HIST2H3D	653604.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
PPM1D	8493.0	4.0	Yes	Yes	No	Yes	Yes	No	No	No	Yes	0.0	0.0	No	No	Yes	No	No	Yes
SGK1	6446.0	4.0	Yes	Yes	No	No	Yes	Yes	Yes	No	No						No	No	Yes
SCG5	6447.0	2.0	Yes	Yes	No	Yes	No	No	No	No	No								
KNSTRN	90417.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No						No	No	Yes
PIK3R3	8503.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
APC	324.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	4.0	No	Yes	Yes	No	No	Yes
PHF6	84295.0	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0	0.5	No	No	Yes	No	No	Yes
SESN3	143686.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
BIRC3	330.0	5.0	Yes	No	No	Yes	Yes	No	Yes	No	Yes						No	No	Yes
FBXO11	80204.0	4.0	Yes	No	Yes	No	Yes	No	Yes	No	Yes						No	No	Yes
XIAP	331.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
MSH2	4436.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
MSH3	4437.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	0.5	0.0	No	No	Yes			
MSI1	4440.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
FAS	355.0	5.0	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes						No	No	Yes
TMEM127	55654.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes								
HDAC7	51564.0	3.0	Yes	Yes	No	No	Yes	No	Yes	No	No								
DIS3	22894.0	4.0	Yes	No	Yes	Yes	Yes	Yes	No	No	No								
AR	367.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes	No	No	Yes
ARAF	369.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	0.0	0.0	No	No	Yes	No	No	Yes
PREX2	80243.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes						No	No	Yes
ARID3B	10620.0	2.0	Yes	Yes	No	No	Yes	No	No	No	No								
RHOA	387.0	5.0	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	4.0	0.0	Yes	No	Yes	No	No	Yes
MST1	4485.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
MST1R	4486.0	4.0	Yes	Yes	No	Yes	Yes	Yes	No	No	No								
SETD2	29072.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	5.5	No	Yes	Yes	No	No	Yes
MTAP	4507.0	3.0	Yes	No	Yes	Yes	No	Yes	No	No	No								
KBTBD4	55709.0	2.0	Yes	No	No	Yes	No	No	No	No	No								
BABAM1	29086.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
DKK1	22943.0	1.0	Yes	No	No	No	No	No	No	No	No								
CTCF	10664.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	2.5	No	Yes	Yes	No	No	Yes
MTOR	2475.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.5	0.0	Yes	No	Yes	No	No	Yes
DROSHA	29102.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes						No	No	Yes
GNA13	10672.0	4.0	Yes	Yes	No	No	Yes	Yes	Yes	No	No	1.0	0.0	Yes	No	Yes			
PPP4R2	151987.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
TP63	8626.0	5.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes						No	No	Yes
TET1	80312.0	5.0	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes								
NT5C2	22978.0	5.0	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes						No	No	Yes
ANKRD11	29123.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
SMARCA2	6595.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No								
SMARCA4	6597.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.5	0.5	Yes	No	Yes	No	No	Yes
CD274	29126.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
SMARCB1	6598.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
SMARCD1	6602.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes						No	No	Yes
FLCN	201163.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
SOCS1	8651.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
SMARCE1	6605.0	3.0	Yes	Yes	Yes	Yes	No	No	No	No	Yes								
FOXP1	27086.0	5.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes								
ZFHX3	463.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes	0.0	0.5	No	No	Yes	No	No	Yes
SMO	6608.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes						No	No	Yes
ATF1	466.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
CARD11	84433.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.5	0.0	No	No	Yes	No	No	Yes
IRS2	8660.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
ATM	472.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	4.5	No	Yes	Yes	No	No	Yes
DOT1L	84444.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
SUFU	51684.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
SPEN	23013.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
FYN	2534.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
CMTR2	55783.0	2.0	Yes	No	Yes	Yes	No	No	No	No	No								
BBC3	27113.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
PRDM14	63978.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
STAG2	10735.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	3.0	No	Yes	Yes	No	No	Yes
SLX4	84464.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
DKK4	27121.0	1.0	Yes	No	No	No	No	No	No	No	No								
DKK3	27122.0	1.0	Yes	No	No	No	No	No	No	No	No								
MUTYH	4595.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes								
DKK2	27123.0	1.0	Yes	No	No	No	No	No	No	No	No								
GAB1	2549.0	2.0	Yes	Yes	No	Yes	No	No	No	No	No								
PDCD1LG2	80380.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
SOS1	6654.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No	2.0	0.0	Yes	No	Yes			
CD276	80381.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
SOX2	6657.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
MYC	4609.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes			
MYCL	4610.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes								
MYCN	4613.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
SOX9	6662.0	5.0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	0.0	1.5	No	Yes	Yes			
PDS5B	23047.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No	0.0	1.0	No	Yes	Yes			
MYD88	4615.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
SMG1	23049.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
ATP6V1B2	526.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
PLK2	10769.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
EED	8726.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No						No	No	Yes
ATP6AP1	537.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
AGO2	27161.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
SETD1B	23067.0	2.0	Yes	No	No	No	Yes	No	No	No	No						No	No	Yes
ARID4B	51742.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
ATR	545.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
ATRX	546.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	4.5	No	Yes	Yes	No	No	Yes
RTEL1	51750.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
CDK12	51755.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	2.0	No	Yes	Yes	No	No	Yes
AXL	558.0	5.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No								
MYOD1	4654.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes						No	No	Yes
B2M	567.0	6.0	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
SRC	6714.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
TNFRSF14	8764.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
GATA1	2623.0	6.0	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes						No	No	Yes
GATA2	2624.0	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes						No	No	Yes
GATA3	2625.0	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
BARD1	580.0	6.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
NBN	4683.0	5.0	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes								
CCND1	595.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	1.0	0.0	Yes	No	Yes			
BCL2	596.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	0.0	0.0	No	No	Yes			
BCL2L1	598.0	4.0	Yes	No	No	Yes	Yes	Yes	No	No	No								
H3F3AP4	440926.0	1.0	Yes	No	No	No	No	No	No	No	No								
BCL6	604.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
BCL9	607.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
BCR	613.0	5.0	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes								
SS18	6760.0	3.0	Yes	Yes	No	No	No	No	Yes	No	Yes								
SESN1	27244.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
CRLF2	64109.0	6.0	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes						No	No	Yes
CIC	23152.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.0	No	Yes	Yes	No	No	Yes
ARID5A	10865.0	2.0	Yes	No	No	No	Yes	No	No	No	No								
STAT1	6772.0	1.0	Yes	No	No	No	No	No	No	No	No								
STAT2	6773.0	1.0	Yes	No	No	No	No	No	No	No	No								
INPP4B	8821.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
STAT3	6774.0	6.0	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes						No	No	Yes
